Depth,steiner_packing_avg,steiner_packing_std,steiner_packing_count,steiner_pathfinder_avg,steiner_pathfinder_std,steiner_pathfinder_count,steiner_tree_avg,steiner_tree_std,steiner_tree_count
10,563.9,92.01570518123523,10,602.8,94.17940326844293,10,555.8,93.58611008050286,10
35,6700.3,797.5705674108092,10,6739.7,800.811844318002,10,6689.0,799.6099048911287,10
60,14342.2,614.5070870217853,10,14373.8,618.037992359693,10,14328.2,616.7770748009365,10
85,20566.4,934.3632270161321,10,20598.1,938.213989450168,10,20546.4,930.4918269388506,10
